poach /pəʊtʃ/ (v) | Săn trộm
sanction /ˈsæŋkʃn/ (noun) | Sự phê chuẩn
manner /ˈmænər/ (noun) | Cách, lối, thói, kiểu
misalignment /ˌmɪsəˈlaɪnmənt/ (noun) | Độ lệch, sự chỉnh sai, sự lệch trục, sự xê dịch, sự mất cân bằng
inquiry /ɪnˈkwaɪəri/ (noun) | Sự điều tra
expedition /ˌekspəˈdɪʃn/ (n) | Cuộc hành trình, đoàn người đi
utterly /ˈʌtərli/ (adverb) | Một cách hoàn toàn
impression /ɪmˈpreʃn/ (noun) | Ấn tượng
divorced /dɪˈvɔːrst/ (adjective) | Đã ly hôn
bitterly /ˈbɪtərli/ (adverb) | Một cách cay đắng
compound /ˈkɑːmpaʊnd/ (n) | Từ ghép
conformation /ˌkɑːnfɔːrˈmeɪʃn/ (noun) | Hình dáng, thể cấu tạo
glance /ɡlæns/ (noun) | Cái liếc nhìn, liếc mắt, xem qua
collocation /ˌkɑːləˈkeɪʃn/ (noun) | Tổ hợp từ thường đi kèm, ghép với nhau
fortunate /ˈfɔːrtʃənət/ (adj) | May mắn
favour /ˈfeɪvər/ (v) | Thiên vị, chiếu cố, ưu ái, giúp đỡ, ủng hộ
compact /ˈkɑːmpækt/ (adj) | Nén, gọn
rehearse /rɪˈhɜːrs/ (v) | Diễn tập, kể lại
criticize /ˈkrɪtɪsaɪz/ (v) | Phê bình
criticism /ˈkrɪtɪsɪzəm/ (n) | Lời phê bình, sự phê bình
awkward /ˈɔːkwərd/ (adj) | Khó xử, gây lúng túng, gượng gạo
attainment /əˈteɪnmənt/ (n) | Sự đạt được, kiến thức, thành quả
accompany /əˈkʌmpəni/ (v) | Đi kèm
sculpture /ˈskʌlptʃər/ (n) | Sự điêu khắc, nghệ thuật điêu khắc
contemporary /kənˈtempəreri/ (adj) | Đương đại, hiện tại
patron /ˈpeɪtrən/ (n) | Người bảo trợ, khách đến (cửa hàng)
illuminate /ɪˈluːmɪneɪt/ (v) | Chiếu sáng, soi sáng
integral /ˈɪntɪɡrəl/ (adj) | Không thể thiếu, quan trọng
inspiration /ˌɪnspəˈreɪʃn/ (n) | Cảm hứng
essentially /ɪˈsenʃəli/ (adv) | Về bản chất, về cơ bản
admire /ədˈmaɪər/ (v) | Ngưỡng mộ, hâm mộ
admirable /ˈædmərəbl/ (adj) | Đáng khâm phục, đáng ngưỡng mộ
track down /træk daʊn/ (phrV) | Tìm ra, lần ra
reinforce /ˌriːɪnˈfɔːrs/ (v) | Củng cố, tăng cường
obey /əˈbeɪ/ (v) | Tuân theo, nghe theo
investigate /ɪnˈvestɪɡeɪt/ (v) | Điều tra
conclude /kənˈkluːd/ (v) | Kết luận, kết thúc
adopt /əˈdɑːpt/ (v) | Tiếp thu, áp dụng
yield /jiːld/ (n) | Sản lượng, lợi nhuận
withhold /wɪðˈhəʊld/ (v) | Giữ lại, từ chối đưa ra
plant /plænt/ (n) | Nhà máy
occupation /ˌɑːkjuˈpeɪʃn/ (n) | Nghề nghiệp, việc làm
leftover /ˈleftəʊvər/ (adj) | Còn lại, còn dư
irrigate /ˈɪrɪɡeɪt/ (v) | Tưới tiêu, rửa (vết thương)
harvesting crops /ˈhɑːrvɪstɪŋ krɑːps/ (phrase) | Thu hoạch vụ mùa
a sense of /ə sens əv/ (phrase) | Một cảm giác, một khả năng về
revision /rɪˈvɪʒn/ (n) | Sự ôn lại
revise /rɪˈvaɪz/ (v) | Ôn tập (bài vở)
prerequisite /ˌpriːˈrekwəzɪt/ (n) | Điều kiện tiên quyết, điều phải có trước
nervously /ˈnɜːrvəsli/ (adv) | Một cách bồn chồn, lo lắng
confusion /kənˈfjuːʒn/ (n) | Sự nhầm lẫn, sự mơ hồ, sự bối rối
peer /pɪr/ (verb) | Nhìn chăm chú
comprehensive /ˌkɑːmprɪˈhensɪv/ (adj) | Bao hàm toàn diện
attest /əˈtest/ (verb) | Chứng kiến, chứng thực
tenable /ˈtenəbl/ (adjective) | Có thể giữ được, có thể kéo dài được, cố thủ được (chức vụ, địa vị, đồn luỹ...)
sentiment /ˈsentɪmənt/ (noun) | Cảm xúc, tình cảm
flexibility /ˌfleksəˈbɪləti/ (n) | Tính linh hoạt
strengthen /ˈstreŋkθn/ (v) | Làm mạnh hơn, củng cố
designate /ˈdezɪɡneɪt/ (v) | Chỉ định, bổ nhiệm
conducive /kənˈduːsɪv/ (adj) | Có ích, có lợi, tạo điều kiện thuận lợi
enrich /ɪnˈrɪtʃ/ (v) | Làm giàu thêm, làm tốt lên
be composed of /bi kəmˈpəʊzd əv/ (phrase) | Được tạo thành từ
violation /ˌvaɪəˈleɪʃn/ (n) | Sự vi phạm
proximity /prɑːkˈsɪməti/ (n) | Sự lân cận, sự gần gũi
complicated /ˈkɑːmplɪkeɪtɪd/ (adj) | Phức tạp, rắc rối, nan giải
detour /ˈdiːtʊr/ (n) | Sự đi đường vòng
gather /ˈɡæðər/ (v) | Thu thập, hợp lại
embarkation /ˌembɑːrˈkeɪʃn/ (n) | Sự cho lên (tàu, máy bay)
beverage /ˈbevərɪdʒ/ (n) | Đồ uống, thức uống (trừ nước lọc)
announcement /əˈnaʊnsmənt/ (n) | Bản thông báo, sự thông cáo
take responsibility for /teɪk rɪˌspɑːnsəˈbɪləti fɔːr/ (phrase) | Nhận lấy trách nhiệm
stunning /ˈstʌnɪŋ/ (adj) | Tuyệt vời, đáng kinh ngạc
scrutiny /ˈskruːtəni/ (n) | Sự kiểm tra kỹ lưỡng, sự nghiên cứu cẩn thận
on account of /ɑːn əˈkaʊnt əv/ (phrase) | Bởi vì, vì nguyên nhân
initiate /ɪˈnɪʃieɪt/ (v) | Bắt đầu, khởi đầu, đề xướng
initiative /ɪˈnɪʃətɪv/ (n) | Sáng kiến, sự khởi xướng đi trước
subsequent /ˈsʌbsɪkwənt/ (adj) | Tiếp theo, xảy ra sau
compatible /kəmˈpætəbl/ (adj) | Tương thích, phù hợp
substitution /ˌsʌbstɪˈtuːʃn/ (n) | Sự thay thế
alternative /ɔːlˈtɜːnətɪv/ (adj) | Có thể dùng để thay thế
decade /ˈdekeɪd/ (n) | Thập kỉ
concern /kənˈsɜːrn/ (n) | Sự quan tâm, sự lo ngại
likewise /ˈlaɪkwaɪz/ (adv) | Tương tự thế, giống vậy, cũng
also /ˈɔːlsəʊ/ (adverb) | Cũng, ngoài ra
moreover /mɔːrˈəʊvər/ (adverb) | Hơn nữa, ngoài ra
furthermore /ˌfɜːrðərˈmɔːr/ (adv) | Hơn nữa, vả lại
additionally /əˈdɪʃənəli/ (adverb) | Ngoài ra
bond /bɑːnd/ (n) | Sự gắn kết, mối ràng buộc
adolescence /ˌædəˈlesns/ (n) | Thời thanh niên
extremely blunt /ɪkˈstriːmli blʌnt/ (phrase) | Rất thẳng thắn
grow up with somebody /ɡrəʊ ʌp wɪð ˈsʌmbədi/ (phrase) | Lớn lên cùng với ai
take after somebody /teɪk ˈɑːftər ˈsʌmbədi/ (phrase) | Giống ai đó (về ngoại hình, tính cách)
grow apart from somebody /ɡrəʊ əˈpɑːrt frəm ˈsʌmbədi/ (phrase) | Không thân thiết với ai nữa
fall out with somebody /fɔːl aʊt wɪð ˈsʌmbədi/ (phrase) | Tranh cãi và bất hòa với ai
look up to somebody /lʊk ʌp tə ˈsʌmbədi/ (phrase) | Ngưỡng mộ ai
get on with somebody /ɡet ɑːn wɪð ˈsʌmbədi/ (phrase) | Hòa thuận với ai
widespread /ˈwaɪdspred/ (adj) | Lan rộng, trên diện rộng
tempt /tempt/ (v) | Dụ, xúi giục, cám dỗ, lôi cuốn
survey /sərˈveɪ/ (v) | Khảo sát
on track /ɑːn træk/ (phrase) | Đúng hướng
dominant /ˈdɑːmɪnənt/ (adj) | Trội, có ưu thế hơn, thống trị
cohesive /kəʊˈhiːsɪv/ (adj) | Có tính gắn kết, dính liền
be brought up /bi brɔːt ʌp/ (phrase) | Được nuôi nấng, dạy dỗ
retire /rɪˈtaɪər/ (v) | Nghỉ hưu
relinquish /rɪˈlɪŋkwɪʃ/ (v) | Từ bỏ, buông bỏ
reflect /rɪˈflekt/ (v) | Phản ánh
perspective /pərˈspektɪv/ (n) | Góc nhìn, quan điểm
prohibit /prəʊˈhɪbɪt/ (v) | Cấm, không cho phép
petition /pəˈtɪʃn/ (n) | Đơn xin, đơn thỉnh cầu, bản kiến nghị
local resident /ˈləʊkl ˈrezɪdənt/ (phrase) | Cư dân địa phương
take the risk /teɪk ðə rɪsk/ (phrase) | Chấp nhận rủi ro
successive /səkˈsesɪv/ (adj) | Kế tiếp, liên tiếp
clerk /klɜːrk/ (n) | Thư ký
desire /dɪˈzaɪər/ (n) | Niềm mong muốn mãnh liệt
concentrate /ˈkɑːnsntreɪt/ (n) | Sự cô đặc
respective /rɪˈspektɪv/ (adj) | Tương ứng, riêng từng
skillful /'skilfl/ (adj) | Khéo léo, thành thạo, tài giỏi
devote to /dɪˈvəʊt tuː/ (v) | Cống hiến cho
attitude /ˈætɪtuːd/ (n) | Thái độ
particular /pərˈtɪkjələr/ (adjective) | Riêng biệt, cá biệt
possess /pəˈzes/ (v) | Sở hữu
perspective /pərˈspektɪv/ (n) | Luật xa gần (phối cảnh)
orchestrate /ˈɔːrkɪstreɪt/ (verb) | Phối nhạc, soạn nhạc (cho dàn nhạc)
integrate /ˈɪntəˌɡreɪt/ (v) | Hội nhập
articulate /ɑːrˈtɪkjələt/ (adj) | Hoạt ngôn, nói năng lưu loát
constitute /ˈkɑːnstɪtuːt/ (v) | Cấu thành, chiếm
broaden /ˈbrɔːdn/ (v) | Mở rộng, mở mang
expertise /ˌekspɜːrˈtiːz/ (n) | Sự chuyên môn, tinh thông (kĩ năng, kiến thức)
taxonomy /tækˈsɑːnəmi/ (noun) | Phân loại học
intent /ɪnˈtent/ (n) | Ý định, dự định
depletion /dɪˈpliːʃn/ (n) | Sự suy giảm, sự sụt giảm, sự suy yếu
deem /diːm/ (verb) | Tưởng rằng, thấy rằng, cho rằng
consistent /kənˈsɪstənt/ (adjective) | Kiên định, nhất quán, trước sau như một
severity /sɪˈverəti/ (noun) | Sự nghiêm trọng, nghiêm khắc, nặng nề, mãnh liệt
oversee /ˌəʊvərˈsiː/ (verb) | Giám sát
initiative /ɪˈnɪʃətɪv/ (n) | Thế chủ động, tính chủ động
ongoing /ˈɑːnɡəʊɪŋ/ (adjective) | Đang tiến hành, đang diễn ra, liên tục, không ngừng
charter /ˈtʃɑːrtər/ (verb) | Thuê
time off /taɪm ɔːf/ (phrase) | Thời gian nghỉ ốm/ nghỉ phép
thorough /ˈθɜːrəʊ/ (adj) | Cẩn thận, chu đáo, kĩ lưỡng
stand out /stænd aʊt/ (phrV) | Nổi bật
sharp /ʃɑːrp/ (adj) | Nhạy, sắc sảo
loyalty /ˈlɔɪəlti/ (n) | Lòng trung thành
figure out /ˈfɪɡjər aʊt/ (phrV) | Hiểu ra, tìm ra
blanket /ˈblæŋkɪt/ (n) | Sự bao trùm, sự che phủ
bear /ber/ (v) | Chịu đựng, chống đỡ
substantially /səbˈstænʃəli/ (adv) | Nhiều, đáng kể, chủ yếu
pressure /ˈpreʃər/ (n) | Áp lực, sức ép
assume /əˈsuːm/ (v) | Giả sử, cho rằng
retention /rɪˈtenʃn/ (n) | Sự duy trì, sự giữ lại
brainstorming /ˈbreɪnstɔːrmɪŋ/ (n) | Sự cùng động não, sự nghĩ ra (ý tưởng)
approach /əˈprəʊtʃ/ (v) | Tiếp cận (vấn đề)
make an effort /meɪk ən ˈefərt/ (phrase) | Nỗ lực, cố gắng
technically /ˈteknɪkli/ (adv) | Về mặt kỹ thuật
promote /prəˈməʊt/ (v) | Quảng bá
faithful /ˈfeɪθfl/ (adj) | Trung thành, chung thủy, trung thực
encouragement /ɪnˈkɜːrɪdʒmənt/ (n) | Sự khích lệ, động viên
election commission /ɪˈlekʃn kəˈmɪʃn/ (phrase) | Ủy ban bầu cử
elect /ɪˈlekt/ (v) | Bầu chọn, lựa chọn
dedication /ˌdedɪˈkeɪʃn/ (n) | Sự cống hiến
attribution /ˌætrɪˈbjuːʃn/ (n) | (+ of/to sth) Sự quy cho, gán cho
attribute to /əˈtrɪbjuːt tə/ (phrV) | Là do, gán cho, quy cho
allowance /əˈlaʊəns/ (n) | Hạn mức, mức cho phép
strike /straɪk/ (v) | Đình công
straightforward /ˌstreɪtˈfɔːrwərd/ (adj) | Dễ làm, dễ hiểu
earnings /ˈɜːrnɪŋz/ (n) | Thu nhập, tiền lương, lợi nhuận
wealthy /ˈwelθi/ (adj) | Giàu có
differentiate /ˌdɪfəˈrenʃieɪt/ (v) | Phân biệt
decent /ˈdiːsnt/ (adj) | Tươm tất, đàng hoàng, tử tế
compensate /ˈkɑːmpenseɪt/ (v) | Bù, đền bù, bồi thường
certify /ˈsɜːrtɪfaɪ/ (v) | Chứng nhận, chứng thực
assist /əˈsɪst/ (v) | Giúp, giúp đỡ
address to /əˈdres tə/ (phrV) | Gửi cho, gửi đến
personnel /ˌpɜːrsəˈnel/ (n) | Nhân sự, nhân công
commission /kəˈmɪʃn/ (n) | Tiền hoa hồng
ask for a raise /æsk fɔːr ə reɪz/ (phrase) | Yêu cầu được tăng lương
enthusiastic /ɪnˌθjuːziˈæstɪk/ (adj) | Say mê, hăng hái
regard /rɪˈɡɑːrd/ (noun) | Sự chú ý, quan tâm
suspicion /səˈspɪʃn/ (noun) | Sự ngờ vực, nghi ngờ
take place /teɪk pleɪs/ (phrase) | Diễn ra, xảy ra
result in /rɪˈzʌlt ɪn/ (phrv) | Dẫn đến, đưa đến kết quả
qualification /ˌkwɑːlɪfɪˈkeɪʃn/ (n) | Bằng cấp, chứng chỉ
noticeable /ˈnəʊtɪsəbl/ (adj) | Dễ nhận thấy, đáng chú ý
long-standing /ˌlɔːŋ ˈstændɪŋ/ (adj) | Có từ lâu đời
excite /ɪkˈsaɪt/ (v) | Làm cho phấn khích, kích thích
determine /dɪˈtɜːrmɪn/ (v) | Quyết định, định đoạt
depend on /dɪˈpend ɑːn/ (phrV) | Phụ thuộc vào
deal with /diːl wɪð/ (phrV) | Giải quyết, đối phó
conform /kənˈfɔːrm/ (v) | Tuân theo
qualify for /ˈkwɑːlɪfaɪ fɔːr/ (phrV) | Đủ điều kiện, đủ khả năng (tham dự hay đi tiếp)
perceptive /pərˈseptɪv/ (adj) | Mẫn cảm, nắm bắt nhanh
lobby /ˈlɑːbi/ (n) | Hành lang, sảnh đợi
in-depth /ˌɪn ˈdepθ/ (adj) | Sâu sắc, chuyên sâu
hire /ˈhaɪər/ (v) | Thuê (người, chỗ, ...)
determination /dɪˌtɜːrmɪˈneɪʃn/ (n) | Sự quả quyết, quyết tâm, quyết định
demonstrate /ˈdemənstreɪt/ (v) | Trình bày, giải thích, cho thấy (bằng số liệu, bằng chứng)
remain /rɪˈmeɪn/ (verb) | Còn lại, sót lại
culinary /ˈkʌlɪneri/ (adjective) | (thuộc) Nấu nướng, để nấu ăn
circulate /ˈsɜːrkjəleɪt/ (verb) | Lưu hành, lưu thông
definitely /ˈdefɪnətli/ (adv) | Một cách chắc chắn
commute /kəˈmjuːt/ (v) | Đi làm (đều đặn qua lại giữa nhà và nơi làm)
abundant /əˈbʌndənt/ (adj) | Phong phú, nhiều, dồi dào
recruit /rɪˈkruːt/ (v) | Tuyển, chiêu mộ, thu nạp
portfolio /pɔːrtˈfəʊliəʊ/ (n) | Tập tài liệu, bộ hồ sơ
background /ˈbækɡraʊnd/ (n) | Gia cảnh, tiểu sử, học vấn
applicant /ˈæplɪkənt/ (n) | Người xin việc, ứng viên
precise /prɪˈsaɪs/ (adj) | Chính xác, tỉ mỉ
excel /ɪkˈsel/ (v) | Vượt trội hơn
disturb /dɪˈstɜːrb/ (v) | Làm phiền, quấy rầy
discrepancy /dɪˈskrepənsi/ (n) | Sự khác nhau, không khớp (đáng ra phải giống nhau)
crucial /ˈkru:ʃl/ (adj) | Then chốt, quan trọng
inventory /ˈɪnvəntɔːri/ (n) | Hàng tồn kho
void the warranty /vɔɪd ðə ˈwɔːrənti/ (phrase) | Làm mất hiệu lực bảo hành
manual /ˈmænjuəl/ (n) | Bản hướng dẫn sử dụng
implement /ˈɪmplɪmənt/ (v) | Thi hành, thực hiện, thực thi
fulfil /fʊlˈfɪl/ (v) | Hoàn thành, lấp đầy, làm thỏa mãn
liability /ˌlaɪəˈbɪləti/ (n) | Trách nhiệm, nghĩa vụ
assurance /əˈʃʊrəns/ (n) | Sự đảm bảo, cam đoan
verbally /ˈvɜːrbəli/ (adv) | Bằng lời nói, bằng miệng
take pride in /teɪk praɪd ɪn/ (phrase) | Tự hào về
sufficiently /səˈfɪʃntli/ (adv) | Đủ, thích đáng
punctually /ˈpʌŋktʃuəli/ (adv) | Đúng giờ, kịp thời, không chậm trễ
on duty /ɑːn ˈduːti/ (phrase) | Đang làm việc, đang trong ca trực
hesitate /ˈhezɪteɪt/ (v) | Do dự, ngần ngại, lưỡng lự
equivalent to /ɪˈkwɪvələnt tə/ (phrase) | Tương đương với
aspect /ˈæspekt/ (n) | Phương diện, khía cạnh
appreciation /əˌpriːʃiˈeɪʃn/ (n) | Sự trân trọng, đánh giá cao
be satisfied with /bi ˈsætɪsfaɪd wɪθ/ (phrase) | Hài lòng với
suit /su:t/ (v) | Hợp, vừa (quần áo)
garment /ˈɡɑːrmənt/ (n) | Quần áo
fluctuate /ˈflʌktʃueɪt/ (v) | Dao động
be a good match /biː ə ɡʊd mætʃ/ (phrase) | Hợp nhau, tương xứng
cautiously /ˈkɔːʃəsli/ (adv) | Một cách cẩn thận, cẩn trọng
bargain /ˈbɑːrɡən/ (v) | Mặc cả
inquire /ɪnˈkwaɪər/ (v) | Hỏi thông tin, tìm hiểu
shipment /ˈʃɪpmənt/ (n) | Lô hàng
defect /ˈdiːfekt/ (n) | Sự thiếu sót, sai sót
courier /ˈkʊriər/ (n) | Người đưa thư, thư tín, chuyển phát
waterproof /ˈwɔːtərpruːf/ (adj) | Có tính chống thấm nước
proofread /ˈpruːfriːd/ (v) | Đọc soát lỗi
proof /pruːf/ (n) | Chứng cứ, bằng chứng
a charge of theft /ə tʃɑːrdʒ əv θeft/ (phrase) | Lời buộc tội trộm cắp
free of charge /friː ʌv tʃɑːrdʒ/ (phrase) | Miễn phí, không mất phí
be in charge of /bi ɪn tʃɑːrdʒ əv/ (phrase) | Chịu trách nhiệm về
custom-made /ˌkʌstəm ˈmeɪd/ (adj) | Làm riêng (cho ai)
go through customs /ɡəʊ θruː ˈkʌstəmz/ (phrase) | Đi qua cửa hải quan
custom /ˈkʌstəm/ (n) | Thói quen, phong tục, tục lệ
deficit /ˈdefɪsɪt/ (n) | Thâm hụt
burgle /ˈbɜːrɡl/ (verb) | Ăn trộm bẻ khoá
get engaged /ɡet ɪnˈɡeɪdʒd/ (phrase) | Đính hôn
engage in /ɪnˈɡeɪdʒ ɪn/ (phrV) | Tham gia vào, làm cho tham gia vào
spare /sper/ (adj) | Thừa, dự phòng
make a claim /meɪk ə kleɪm/ (phrase) | Khiếu nại, yêu cầu bồi thường
claim /kleɪm/ (v) | Khẳng định, xác nhận
on board /ɑːn bɔːrd/ (phrase) | Trên tàu, thuyền, máy bay
board of directors /bɔːrd əv dəˈrektərz/ (phrase) | Ban giám đốc
founder /ˈfaʊndər/ (n) | Người sáng lập
a charitable foundation /ə ˈtʃærətəbl faʊnˈdeɪʃn/ (phrase) | Tổ chức từ thiện
foundation course /faʊnˈdeɪʃn kɔːrs/ (n) | Khóa học nền tảng
rely on /rɪˈlaɪ ɑːn/ (phrV) | Tin vào, dựa vào
involve /ɪnˈvɑːlv/ (v) | Bao gồm, cần phải có, kéo theo
indicate /ˈɪndɪkeɪt/ (v) | Chỉ ra, trình bày
imply /ɪmˈplaɪ/ (v) | Ngụ ý, ẩn ý, ám chỉ
approve /əˈpruːv/ (v) | Tán thành, đồng ý
spare /sper/ (v) | Để dành, chừa lại, tiết kiệm
fold /fəʊld/ (v) | Gấp, gập, bọc
guideline /ˈɡaɪdlaɪn/ (n) | Bản hướng dẫn
correspondence /ˌkɔːrəˈspɑːndəns/ (n) | Thư từ, việc viết thư từ
vastly /ˈvæstli/ (adverb) | Rất nhiều
summarize /ˈsʌməraɪz/ (v) | Tóm tắt, tổng kết
refer /rɪˈfɜːr/ (v) | Tham khảo, nhắc tới, chuyển đến
persuasion /pərˈsweɪʒn/ (n) | Sự thuyết phục, niềm tin, sự tin chắc
owe /əʊ/ (v) | Mắc nợ, mang ơn
on occasion /ɑːn əˈkeɪʒn/ (phrase) | Thỉnh thoảng
get in touch /ɡet ɪn tʌtʃ/ (phrase) | Liên lạc
facial expression /ˈfeɪʃl ɪkˈspreʃn/ (n) | Biểu cảm khuôn mặt, vẻ mặt
beforehand /bɪˈfɔːrhænd/ (adv) | Trước, sớm hơn
distraction /dɪˈstrækʃn/ (n) | Sự làm xao nhãng
attendee /əˌtenˈdiː/ (n) | Người tham dự
matter /ˈmætər/ (n) | Vấn đề, việc
renovation /ˌrenəˈveɪʃn/ (n) | Sự sửa sang, cải tạo (tòa nhà)
keep up with /kiːp ʌp wɪð/ (phrV) | Theo kịp với, cập nhật với
facility /fəˈsɪləti/ (n) | Trang thiết bị, công trình, cơ sở vật chất
disruption /dɪsˈrʌpʃn/ (n) | Sự gián đoạn, sự phá vỡ
appropriate /əˈprəʊpriət/ (adj) | Thích hợp, thích đáng
worsen /ˈwɜːrsn/ (v) | Làm cái gì tồi tệ hơn
withdraw /wɪðˈdrɔː/ (v) | Rút lui, rút khỏi
ultimately /ˈʌltɪmətli/ (adv) | Cuối cùng, sau cùng, chính yếu
tentative /ˈtentətɪv/ (adj) | Dự kiến, ướm thử
relevant /ˈreləvənt/ (adj) | Có liên quan, thích đáng
productive /prəˈdʌktɪv/ (adj) | Năng suất, hiệu quả
present /prɪˈzent/ (v) | Trao, tặng, đưa
matter /ˈmætər/ (v) | Có ý nghĩa quan trọng, có ảnh hưởng
marked /mɑːrkt/ (adj) | Rõ ràng, rõ rệt
lead /liːd/ (v) | Dẫn (ai, cái gì) đi, dẫn đường
convention /kənˈvenʃn/ (n) | Hội nghị, hội thảo
executive /ɪɡˈzekjətɪv/ (n) | Người điều hành, giám đốc điều hành
time-consuming /ˈtaɪm kənsuːmɪŋ/ (adj) | Tốn thời gian
supervise /ˈsuːpərvaɪz/ (v) | Giám sát, quản lý, kiểm soát
superior /suːˈpɪriər/ (adj) | Tốt hơn, xuất sắc hơn
interruption /ˌɪntəˈrʌpʃn/ (n) | Sự gián đoạn, sự ngắt lời
accurately /ˈækjərətli/ (adv) | Đúng đắn, chính xác, xác đáng
disparate /ˈdɪspərət/ (adj) | Khác hẳn nhau, rất khác biệt
separation /ˌsepəˈreɪʃn/ (noun) | Sự phân chia, ly thân
roughly /ˈrʌfli/ (adverb) | Thô sơ, thô ráp, xù xì
proposal /prəˈpəʊzl/ (n) | Kế hoạch đề xuất, bản thảo
postpone /pəʊˈspəʊn/ (v) | Trì hoãn
notable /ˈnəʊtəbl/ (adj) | Đáng kể, đáng chú ý, có tiếng
downside /ˈdaʊnsaɪd/ (n) | Khuyết điểm, bất lợi
exceed /ɪkˈsiːd/ (v) | Vượt quá, phóng đại
adhere to /ədˈhɪr tuː/ (phrV) | Tuân theo, bám theo
manufacture /ˌmænjuˈfæktʃər/ (n) | Sự sản xuất, sự chế tạo
circumstance /ˈsɜːrkəmstæns/ (n) | Trường hợp, hoàn cảnh
accuracy /ˈækjərəsi/ (n) | Sự đúng đắn, tính chính xác
maintenance /ˈmeɪntənəns/ (n) | Sự bảo trì
wrinkle /ˈrɪŋkl/ (n) | Vết nhăn, nếp nhăn (da mặt, vải)
mosquito repellent /məˈskiːtəʊ rɪˈpelənt/ (phrase) | Chất đuổi muỗi
fragrance /ˈfreɪɡrəns/ (n) | Mùi thơm, nước hoa
entirely /ɪnˈtaɪərli/ (adv) | Toàn bộ, toàn vẹn, hoàn toàn
continually /kənˈtɪnjuəli/ (adv) | Lặp lại một cách liên tục
expiration date /ˌekspəˈreɪʃn deɪt/ (n) | Ngày hết hạn, hạn sử dụng
characteristic /ˌkærəktəˈrɪstɪk/ (n) | Đặc điểm, đặc tính
enlist /ɪnˈlɪst/ (v) | Kêu gọi được, giành được (tình cảm)
differ from /ˈdɪfər frəm/ (phrV) | Khác với
council /ˈkaʊnsl/ (n) | Hội đồng
corporate /ˈkɔːrpərət/ (adj) | Thuộc đoàn thể, thuộc công ty
committee /kəˈmɪti/ (n) | Ủy ban, hội đồng
commensurate with /kəˈmenʃərət wɪð/ (phrase) | Tương xứng với (kích cỡ, sự quan trọng, chất lượng)
build up /bɪld ʌp/ (phrV) | Xây dựng dần, lớn mạnh dần
authority /əˈθɔːrəti/ (n) | Uy quyền, quyền lực
applaud /əˈplɔːd/ (v) | Vỗ tay hoan nghênh, tán thưởng
affordable /əˈfɔːrdəbl/ (adj) | Phải chăng (giá cả), đủ khả năng chi trả
amenity /əˈmenəti/ (n) | Dịch vụ tiện nghi
accomplishment /əˈkɑːmplɪʃmənt/ (n) | Thành tựu, sự hoàn thành, hoàn thiện
specialize in /ˈspeʃəlaɪz ɪn/ (phrase) | Chuyên sâu về, chuyên môn về
run a company /rʌn ə ˈkʌmpəni/ (phrase) | Điều hành 1 công ty
subsidiary /səbˈsɪdieri/ (adj) | Thuộc chi nhánh, phụ trợ, phụ thuộc
enterprise /ˈentərpraɪz/ (n) | Doanh nghiệp
agency /ˈeɪdʒənsi/ (n) | Hãng, đại lý (về dịch vụ)
affiliate /əˈfɪlieɪt/ (v) | Liên kết, nhập vào (một tổ chức lớn hơn)
settle /ˈsetl/ (v) | Chấm dứt, thanh toán
rectify /ˈrektɪfaɪ/ (v) | Chỉnh sửa
payment is due /ˈpeɪmənt ɪz duː/ (phrase) | Đáo hạn/hết hạn thanh toán
partly /ˈpɑːrtli/ (adv) | Một phần, phần nào đó
express /ɪkˈspres/ (v) | Bày tỏ, thể hiện
expense /ɪkˈspens/ (n) | Phí tổn, chi phí
expenditure /ɪkˈspendɪtʃər/ (n) | Sự chi tiêu, sự tiêu dùng
deduct /dɪˈdʌkt/ (v) | Trừ đi, khấu trừ
permanent /ˈpɜːrmənənt/ (adj) | Lâu dài, vĩnh cửu
invest /ɪnˈvest/ (v) | Đầu tư
impose /ɪmˈpəʊz/ (v) | Đánh thuế, áp luật
distinguishable /dɪˈstɪŋɡwɪʃəbl/ (adj) | Có thể phân biệt được, có thể nhận ra được
controversial /ˌkɑːntrəˈvɜːrʃl/ (adj) | Gây tranh cãi, có thể gây tranh luận
beneficial /ˌbenɪˈfɪʃl/ (adj) | Có ích
advocate /ˈædvəkeɪt/ (v) | Tán thành, ủng hộ
audit /ˈɔːdɪt/ (v) | Kiểm toán
account for /əˈkaʊnt fər/ (phrV) | Giải thích cho, chiếm
wisely /ˈwaɪzli/ (adv) | Khôn ngoan, sáng suốt
utilize /ˈjuːtəlaɪz/ (v) | Dùng, sử dụng, tận dụng
variety /vəˈraɪəti/ (n) | Sự đa dạng, tính đa dạng
reasonable /ˈriːznəbl/ (adj) | Phải chăng, vừa phải
portion /ˈpɔːrʃn/ (n) | Phần, khẩu phần
obviously /ˈɑːbviəsli/ (adv) | Hiển nhiên, rõ ràng
existence /ɪɡˈzɪstəns/ (n) | Sự tồn tại, hiện hữu
estimate /ˈestɪmeɪt/ (v) | Ước tính
diverse /daɪˈvɜːrs/ (adj) | Đa dạng
indicator /ˈɪndɪkeɪtər/ (n) | Chỉ số, dụng cụ chỉ thị
prospective /prəˈspektɪv/ (a) | Tiềm năng, sắp tới, về sau
apprehensive /ˌæprɪˈhensɪv/ (adj) | Lo ngại, e sợ
adjacent /əˈdʒeɪsnt/ (adj) | Gần kề, kế liền, sát ngay
